defect_id,source_system,department,section,severity,days_overdue,asset_age_years,past_failure_count,deferred_count,calculated_risk_score
DEF-2026-0001,TMS,Engineering,NZM-FDB,3,65,2.2,0,4,100.0
DEF-2026-0002,TDMS,TRD,NZM-FDB,2,16,9.5,2,0,48.4
DEF-2026-0003,SMMS,S & T,NZM-FDB,3,160,20.0,3,2,100.0
DEF-2026-0004,TDMS,TRD,DEC-GGN,5,14,27.9,8,2,100.0
DEF-2026-0005,SMMS,S & T,DEC-GGN,5,20,28.8,4,5,100.0
DEF-2026-0006,TDMS,TRD,GZB-ALJN,1,22,31.9,5,5,100.0
DEF-2026-0007,TDMS,TRD,NZM-FDB,3,177,32.5,8,2,100.0
DEF-2026-0008,TDMS,TRD,NDLS-PWL,3,0,30.8,3,2,79.8
DEF-2026-0009,TDMS,TRD,DEC-GGN,3,4,14.7,8,0,88.3
DEF-2026-0010,TDMS,TRD,PWL-MTJ,1,174,33.9,8,3,100.0
DEF-2026-0011,SMMS,S & T,NZM-FDB,4,22,4.0,6,3,100.0
DEF-2026-0012,TDMS,TRD,GZB-MTC,5,10,34.0,3,4,100.0
DEF-2026-0013,TDMS,TRD,PWL-MTJ,5,125,25.5,3,6,100.0
DEF-2026-0014,TMS,Engineering,NZM-FDB,1,21,9.5,8,0,72.4
DEF-2026-0015,TMS,Engineering,GZB-MTC,2,8,38.4,0,2,59.2
DEF-2026-0016,SMMS,S & T,DEC-GGN,1,4,35.3,4,3,73.0
DEF-2026-0017,TMS,Engineering,NZM-FDB,4,87,24.4,8,1,100.0
DEF-2026-0018,SMMS,S & T,DLI-DEC,2,87,30.5,5,2,100.0
DEF-2026-0019,TMS,Engineering,DEC-GGN,4,152,37.4,0,0,100.0
DEF-2026-0020,TMS,Engineering,GZB-ALJN,5,93,31.3,5,3,100.0
DEF-2026-0021,TMS,Engineering,GZB-MTC,3,37,37.4,5,4,100.0
DEF-2026-0022,TMS,Engineering,NDLS-GZB,2,20,5.5,1,1,51.2
DEF-2026-0023,SMMS,S & T,NZM-FDB,1,85,20.2,1,1,84.1
DEF-2026-0024,SMMS,S & T,GZB-ALJN,5,23,32.8,0,0,86.9
DEF-2026-0025,TMS,Engineering,NZM-FDB,4,17,11.8,4,3,100.0
DEF-2026-0026,TMS,Engineering,GZB-ALJN,2,10,7.1,0,5,70.3
DEF-2026-0027,TDMS,TRD,DLI-DEC,3,22,23.6,4,6,100.0
DEF-2026-0028,SMMS,S & T,NDLS-PWL,2,29,37.4,0,3,78.9
DEF-2026-0029,SMMS,S & T,DEC-GGN,1,12,29.3,4,5,90.4
DEF-2026-0030,TDMS,TRD,GZB-ALJN,1,27,3.8,6,4,92.7
DEF-2026-0031,TMS,Engineering,NDLS-PWL,4,28,40.9,8,1,100.0
DEF-2026-0032,TMS,Engineering,GZB-MTC,3,8,30.9,0,6,98.2
DEF-2026-0033,SMMS,S & T,DEC-GGN,1,21,10.5,7,2,82.3
DEF-2026-0034,TMS,Engineering,GZB-MTC,3,3,40.7,5,3,100.0
DEF-2026-0035,TMS,Engineering,NDLS-PWL,3,22,26.4,5,3,100.0
DEF-2026-0036,TMS,Engineering,GZB-MTC,1,7,17.5,5,3,73.2
DEF-2026-0037,TMS,Engineering,DLI-DEC,4,15,29.8,1,6,100.0
DEF-2026-0038,TDMS,TRD,GZB-ALJN,1,17,40.1,1,5,81.2
DEF-2026-0039,TDMS,TRD,DLI-DEC,4,38,26.9,3,0,98.1
DEF-2026-0040,SMMS,S & T,GZB-MTC,5,15,11.6,4,1,100.0
DEF-2026-0041,SMMS,S & T,NDLS-PWL,1,11,12.3,2,6,79.5
DEF-2026-0042,TMS,Engineering,NDLS-GZB,1,30,43.6,7,2,100.0
DEF-2026-0043,TMS,Engineering,DEC-GGN,2,2,3.8,3,4,73.2
DEF-2026-0044,TMS,Engineering,DLI-DEC,5,28,29.9,1,5,100.0
DEF-2026-0045,TDMS,TRD,GZB-ALJN,2,17,30.1,5,4,100.0
DEF-2026-0046,SMMS,S & T,GZB-MTC,2,29,17.2,5,3,98.3
DEF-2026-0047,TDMS,TRD,DLI-DEC,1,28,11.9,8,5,100.0
DEF-2026-0048,TMS,Engineering,GZB-ALJN,1,11,19.8,5,5,91.5
DEF-2026-0049,TMS,Engineering,NDLS-PWL,2,6,19.7,3,0,52.0
DEF-2026-0050,SMMS,S & T,DLI-DEC,1,20,26.6,0,1,42.1
DEF-2026-0051,TDMS,TRD,PWL-MTJ,3,12,39.8,4,0,81.1
DEF-2026-0052,TMS,Engineering,NDLS-PWL,5,27,37.7,2,6,100.0
DEF-2026-0053,SMMS,S & T,NZM-FDB,3,118,27.7,1,1,100.0
DEF-2026-0054,TMS,Engineering,NDLS-PWL,1,164,23.7,6,6,100.0
DEF-2026-0055,SMMS,S & T,GZB-MTC,1,40,24.9,1,0,51.5
DEF-2026-0056,SMMS,S & T,NZM-FDB,5,31,35.3,6,4,100.0
DEF-2026-0057,TMS,Engineering,GZB-ALJN,1,16,36.5,6,2,84.2
DEF-2026-0058,TMS,Engineering,DLI-DEC,2,90,5.6,8,3,100.0
DEF-2026-0059,TMS,Engineering,PWL-MTJ,4,25,7.1,0,3,88.3
DEF-2026-0060,SMMS,S & T,NZM-FDB,2,11,30.0,4,2,79.6
DEF-2026-0061,SMMS,S & T,NDLS-PWL,3,132,19.8,8,3,100.0
DEF-2026-0062,TMS,Engineering,NDLS-PWL,3,8,35.3,6,5,100.0
DEF-2026-0063,TDMS,TRD,PWL-MTJ,3,23,32.1,2,0,73.6
DEF-2026-0064,SMMS,S & T,NZM-FDB,4,25,31.4,0,1,83.1
DEF-2026-0065,TDMS,TRD,DLI-DEC,1,2,27.8,1,0,29.8
DEF-2026-0066,TMS,Engineering,NDLS-GZB,1,129,19.2,8,2,100.0
DEF-2026-0067,TDMS,TRD,PWL-MTJ,4,20,10.7,8,2,100.0
DEF-2026-0068,TMS,Engineering,NDLS-GZB,3,16,31.0,5,1,93.0
DEF-2026-0069,TDMS,TRD,NDLS-GZB,1,8,19.0,3,4,70.9
DEF-2026-0070,SMMS,S & T,DLI-DEC,1,2,37.7,5,2,70.8
DEF-2026-0071,TMS,Engineering,GZB-ALJN,5,14,13.2,6,4,100.0
DEF-2026-0072,SMMS,S & T,DLI-DEC,3,60,43.1,8,6,100.0
DEF-2026-0073,SMMS,S & T,GZB-MTC,5,154,34.6,7,5,100.0
DEF-2026-0074,TDMS,TRD,PWL-MTJ,4,15,18.5,3,5,100.0
DEF-2026-0075,TDMS,TRD,DLI-DEC,2,11,32.1,4,1,72.9
DEF-2026-0076,TMS,Engineering,DEC-GGN,3,26,42.1,7,2,100.0
DEF-2026-0077,TMS,Engineering,DLI-DEC,3,5,10.6,3,6,100.0
DEF-2026-0078,TMS,Engineering,GZB-MTC,1,7,6.6,1,5,61.8
DEF-2026-0079,SMMS,S & T,DLI-DEC,4,41,18.0,5,3,100.0
DEF-2026-0080,TMS,Engineering,NZM-FDB,5,29,11.5,2,0,93.0
DEF-2026-0081,TMS,Engineering,GZB-ALJN,3,16,31.5,2,3,91.7
DEF-2026-0082,SMMS,S & T,DEC-GGN,2,22,11.1,1,2,62.1
DEF-2026-0083,SMMS,S & T,NDLS-PWL,2,17,22.3,5,2,85.6
DEF-2026-0084,TMS,Engineering,NDLS-PWL,1,22,19.2,7,1,78.9
DEF-2026-0085,TDMS,TRD,NZM-FDB,3,56,36.6,8,3,100.0
DEF-2026-0086,TMS,Engineering,NDLS-PWL,4,23,2.4,6,3,100.0
DEF-2026-0087,TDMS,TRD,NDLS-GZB,4,167,35.8,4,2,100.0
DEF-2026-0088,TMS,Engineering,DEC-GGN,3,86,22.5,1,3,100.0
DEF-2026-0089,TMS,Engineering,PWL-MTJ,2,17,19.7,5,6,100.0
DEF-2026-0090,SMMS,S & T,GZB-MTC,3,75,14.2,5,5,100.0
DEF-2026-0091,TDMS,TRD,NDLS-PWL,2,2,21.9,2,6,90.0
DEF-2026-0092,SMMS,S & T,DEC-GGN,5,13,41.0,1,1,97.2
DEF-2026-0093,TMS,Engineering,DEC-GGN,2,9,19.0,7,6,100.0
DEF-2026-0094,SMMS,S & T,PWL-MTJ,3,14,38.7,2,5,100.0
DEF-2026-0095,SMMS,S & T,GZB-MTC,5,22,19.1,1,0,86.3
DEF-2026-0096,SMMS,S & T,NDLS-PWL,1,165,5.6,4,4,100.0
DEF-2026-0097,TMS,Engineering,NDLS-PWL,5,12,33.7,7,5,100.0
DEF-2026-0098,TMS,Engineering,GZB-MTC,4,0,39.0,5,6,100.0
DEF-2026-0099,TMS,Engineering,GZB-MTC,4,29,7.8,8,1,100.0
DEF-2026-0100,SMMS,S & T,GZB-MTC,3,18,29.5,4,2,95.6
DEF-2026-0101,SMMS,S & T,NDLS-GZB,4,14,13.2,4,0,83.7
DEF-2026-0102,SMMS,S & T,GZB-MTC,4,4,25.0,7,6,100.0
DEF-2026-0103,TMS,Engineering,PWL-MTJ,4,25,36.3,8,2,100.0
DEF-2026-0104,TMS,Engineering,NZM-FDB,3,12,33.7,6,6,100.0
DEF-2026-0105,TMS,Engineering,DLI-DEC,1,20,36.4,4,2,75.6
DEF-2026-0106,TMS,Engineering,GZB-MTC,4,5,29.4,7,2,100.0
DEF-2026-0107,TMS,Engineering,NDLS-PWL,1,1,43.8,4,2,67.1
DEF-2026-0108,SMMS,S & T,DLI-DEC,4,7,23.2,5,3,100.0
DEF-2026-0109,TDMS,TRD,NDLS-PWL,2,11,3.4,1,6,82.5
DEF-2026-0110,TMS,Engineering,NZM-FDB,4,2,10.3,4,6,100.0
DEF-2026-0111,TDMS,TRD,NDLS-GZB,1,24,43.9,3,5,98.0
DEF-2026-0112,TMS,Engineering,DLI-DEC,4,3,11.0,6,5,100.0
DEF-2026-0113,TDMS,TRD,GZB-MTC,1,41,25.6,1,2,67.3
DEF-2026-0114,SMMS,S & T,NZM-FDB,1,44,11.4,1,1,56.0
DEF-2026-0115,TMS,Engineering,GZB-MTC,1,8,35.9,0,0,31.2
DEF-2026-0116,SMMS,S & T,NDLS-GZB,1,24,23.5,5,6,100.0
DEF-2026-0117,TMS,Engineering,DEC-GGN,3,168,7.4,3,2,100.0
DEF-2026-0118,TDMS,TRD,NDLS-GZB,2,6,17.4,2,2,60.6
DEF-2026-0119,TMS,Engineering,DEC-GGN,2,9,10.2,2,4,74.5
DEF-2026-0120,TMS,Engineering,DLI-DEC,2,27,24.8,7,2,100.0
DEF-2026-0121,SMMS,S & T,DEC-GGN,2,24,10.0,0,4,72.4
DEF-2026-0122,TDMS,TRD,GZB-MTC,1,23,25.2,6,1,76.4
DEF-2026-0123,TDMS,TRD,GZB-ALJN,1,9,15.8,1,4,59.2
DEF-2026-0124,TMS,Engineering,NZM-FDB,5,5,22.9,1,0,77.7
DEF-2026-0125,SMMS,S & T,PWL-MTJ,3,22,11.5,1,0,59.3
DEF-2026-0126,SMMS,S & T,NZM-FDB,5,26,29.5,5,4,100.0
DEF-2026-0127,TDMS,TRD,PWL-MTJ,4,1,33.6,4,0,84.0
DEF-2026-0128,TDMS,TRD,PWL-MTJ,1,23,10.1,8,5,100.0
DEF-2026-0129,SMMS,S & T,GZB-MTC,5,17,6.5,5,5,100.0
DEF-2026-0130,SMMS,S & T,NDLS-PWL,2,73,25.6,8,2,100.0
DEF-2026-0131,SMMS,S & T,DEC-GGN,3,121,25.7,5,6,100.0
DEF-2026-0132,TMS,Engineering,DLI-DEC,3,26,26.2,3,3,100.0
DEF-2026-0133,TMS,Engineering,NDLS-GZB,2,30,3.5,4,4,95.4
DEF-2026-0134,SMMS,S & T,DLI-DEC,5,9,11.5,5,0,97.5
DEF-2026-0135,TDMS,TRD,NDLS-PWL,3,18,3.6,5,1,83.2
DEF-2026-0136,TMS,Engineering,PWL-MTJ,4,7,14.9,6,4,100.0
DEF-2026-0137,SMMS,S & T,DLI-DEC,4,25,37.5,1,4,100.0
DEF-2026-0138,TMS,Engineering,NZM-FDB,4,51,41.6,5,2,100.0
DEF-2026-0139,TMS,Engineering,NZM-FDB,4,89,38.5,0,5,100.0
DEF-2026-0140,TMS,Engineering,NDLS-GZB,3,10,16.1,3,1,72.4
DEF-2026-0141,SMMS,S & T,NZM-FDB,5,14,11.5,4,6,100.0
DEF-2026-0142,TMS,Engineering,NZM-FDB,2,177,25.6,4,0,100.0
DEF-2026-0143,SMMS,S & T,PWL-MTJ,4,4,10.5,6,5,100.0
DEF-2026-0144,SMMS,S & T,GZB-ALJN,5,16,13.4,6,2,100.0
DEF-2026-0145,TMS,Engineering,DLI-DEC,2,11,16.8,0,6,82.3
DEF-2026-0146,TMS,Engineering,DEC-GGN,2,26,20.9,3,1,72.0
DEF-2026-0147,TMS,Engineering,DLI-DEC,4,59,12.5,2,6,100.0
DEF-2026-0148,TMS,Engineering,PWL-MTJ,3,3,3.0,3,5,93.0
DEF-2026-0149,TMS,Engineering,NDLS-GZB,3,8,33.4,2,5,100.0
DEF-2026-0150,TMS,Engineering,DLI-DEC,5,16,4.6,3,6,100.0
DEF-2026-0151,TMS,Engineering,GZB-ALJN,3,0,13.7,5,6,100.0
DEF-2026-0152,TMS,Engineering,GZB-MTC,4,20,18.4,1,2,87.9
DEF-2026-0153,TDMS,TRD,PWL-MTJ,3,5,21.7,0,0,47.7
DEF-2026-0154,TDMS,TRD,DLI-DEC,2,131,2.8,5,2,100.0
DEF-2026-0155,TMS,Engineering,NDLS-GZB,5,101,28.9,6,6,100.0
DEF-2026-0156,TDMS,TRD,NZM-FDB,5,7,18.9,2,0,82.8
DEF-2026-0157,SMMS,S & T,DEC-GGN,3,27,26.6,6,2,100.0
DEF-2026-0158,TMS,Engineering,NDLS-PWL,1,20,31.4,3,6,98.1
DEF-2026-0159,TMS,Engineering,NDLS-PWL,4,16,41.1,2,5,100.0
DEF-2026-0160,TMS,Engineering,NDLS-GZB,3,30,38.1,2,5,100.0
DEF-2026-0161,TDMS,TRD,PWL-MTJ,4,13,34.1,4,1,98.9
DEF-2026-0162,TMS,Engineering,NDLS-GZB,1,24,28.3,3,1,61.7
DEF-2026-0163,TMS,Engineering,NZM-FDB,3,15,28.0,5,1,91.2
DEF-2026-0164,TMS,Engineering,NZM-FDB,1,6,34.9,0,2,44.6
DEF-2026-0165,TMS,Engineering,GZB-MTC,3,6,41.9,7,6,100.0
DEF-2026-0166,SMMS,S & T,DEC-GGN,4,28,35.4,6,5,100.0
DEF-2026-0167,TMS,Engineering,GZB-ALJN,5,18,39.7,0,4,100.0
DEF-2026-0168,TMS,Engineering,NZM-FDB,4,1,19.0,0,4,86.2
DEF-2026-0169,SMMS,S & T,DLI-DEC,3,1,19.1,4,6,100.0
DEF-2026-0170,TMS,Engineering,GZB-MTC,2,19,40.9,7,6,100.0
DEF-2026-0171,TMS,Engineering,NZM-FDB,3,180,31.9,2,3,100.0
DEF-2026-0172,TMS,Engineering,NDLS-PWL,1,82,5.9,5,5,100.0
DEF-2026-0173,SMMS,S & T,NDLS-PWL,1,3,5.7,6,5,86.6
DEF-2026-0174,TMS,Engineering,NDLS-PWL,2,74,26.3,2,1,97.4
DEF-2026-0175,TMS,Engineering,NDLS-PWL,4,13,35.1,7,2,100.0
DEF-2026-0176,TMS,Engineering,GZB-MTC,1,6,12.9,7,3,81.8
DEF-2026-0177,SMMS,S & T,NZM-FDB,1,28,27.3,7,3,100.0
DEF-2026-0178,TMS,Engineering,PWL-MTJ,3,93,14.0,8,6,100.0
DEF-2026-0179,TMS,Engineering,GZB-ALJN,1,20,38.7,4,2,76.5
DEF-2026-0180,TMS,Engineering,GZB-MTC,2,5,28.3,8,1,89.8
DEF-2026-0181,SMMS,S & T,GZB-ALJN,2,54,15.9,6,6,100.0
DEF-2026-0182,TDMS,TRD,NZM-FDB,4,2,7.2,4,2,89.1
DEF-2026-0183,SMMS,S & T,GZB-MTC,3,19,33.4,8,0,100.0
DEF-2026-0184,SMMS,S & T,DEC-GGN,3,25,38.5,4,4,100.0
DEF-2026-0185,TDMS,TRD,PWL-MTJ,3,164,23.4,2,4,100.0
DEF-2026-0186,SMMS,S & T,PWL-MTJ,5,0,28.9,1,5,100.0
DEF-2026-0187,TDMS,TRD,PWL-MTJ,5,13,26.1,3,0,94.7
DEF-2026-0188,SMMS,S & T,DEC-GGN,2,2,25.6,0,0,35.4
DEF-2026-0189,TMS,Engineering,GZB-MTC,4,38,10.3,5,5,100.0
DEF-2026-0190,TDMS,TRD,GZB-MTC,4,20,29.0,8,2,100.0
DEF-2026-0191,TDMS,TRD,NDLS-GZB,2,45,14.9,5,4,100.0
DEF-2026-0192,TMS,Engineering,NZM-FDB,3,25,8.4,0,2,69.4
DEF-2026-0193,SMMS,S & T,DEC-GGN,4,18,7.0,4,5,100.0
DEF-2026-0194,SMMS,S & T,DLI-DEC,2,158,18.0,4,1,100.0
DEF-2026-0195,TMS,Engineering,GZB-MTC,2,82,21.1,0,6,100.0
