train_no,section,arr_time,dep_time,direction,days
22159,DLI-DEC,21:45,21:53,UP,"MON,TUE,WED,FRI,SUN"
22159,DEC-GGN,22:51,22:58,UP,"MON,TUE,WED,FRI,SUN"
22826,GZB-MTC,19:00,19:05,UP,"MON,TUE,THU,FRI,SAT"
22826,GZB-ALJN,19:55,20:01,UP,"MON,TUE,THU,FRI,SAT"
22591,VAPI-ST,14:40,14:43,UP,"MON,TUE,THU,SAT,SUN"
22591,GZB-MTC,15:38,15:41,UP,"MON,TUE,THU,SAT,SUN"
22284,DLI-DEC,03:35,03:38,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
22284,DEC-GGN,04:12,04:17,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
04650,DLI-DEC,19:25,19:29,DOWN,"TUE,THU,FRI,SAT,SUN"
04650,DEC-GGN,20:27,20:33,DOWN,"TUE,THU,FRI,SAT,SUN"
12701,DLI-DEC,04:05,04:11,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
12701,DEC-GGN,05:04,05:09,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
04322,NDLS-GZB,01:50,01:58,DOWN,"MON,THU,FRI,SAT,SUN"
04322,GZB-ALJN,02:30,02:33,DOWN,"MON,THU,FRI,SAT,SUN"
04269,VAPI-ST,04:35,04:43,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04269,GZB-MTC,05:18,05:26,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12156,NDLS-PWL,23:30,23:34,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12156,PWL-MTJ,00:20,00:27,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04738,NZM-FDB,09:50,09:56,DOWN,"MON,WED,FRI,SAT,SUN"
04738,NDLS-PWL,10:32,10:36,DOWN,"MON,WED,FRI,SAT,SUN"
12976,PNP-UMB,16:50,16:53,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12976,GZB-ALJN,17:30,17:36,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12382,GZB-MTC,16:35,16:38,DOWN,"MON,TUE,WED,FRI,SUN"
12382,GZB-ALJN,17:16,17:20,DOWN,"MON,TUE,WED,FRI,SUN"
12059,DLI-DEC,04:20,04:27,UP,"MON,THU,FRI,SAT,SUN"
12059,DEC-GGN,05:03,05:08,UP,"MON,THU,FRI,SAT,SUN"
12675,DLI-DEC,19:30,19:33,UP,"MON,TUE,WED,THU,FRI,SUN"
12675,DEC-GGN,20:14,20:22,UP,"MON,TUE,WED,THU,FRI,SUN"
22921,VAPI-ST,22:30,22:38,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22921,GZB-MTC,23:23,23:30,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12007,NZM-FDB,04:50,04:55,DOWN,"MON,TUE,FRI,SAT,SUN"
12007,NDLS-PWL,05:42,05:48,DOWN,"MON,TUE,FRI,SAT,SUN"
04243,GZB-MTC,12:40,12:47,UP,"TUE,WED,THU,FRI,SAT,SUN"
04243,GZB-ALJN,13:17,13:25,UP,"TUE,WED,THU,FRI,SAT,SUN"
12096,NDLS-PWL,05:00,05:04,DOWN,"TUE,WED,THU,SAT,SUN"
12096,PWL-MTJ,05:48,05:51,DOWN,"TUE,WED,THU,SAT,SUN"
04669,NDLS-PWL,06:00,06:07,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04669,PWL-MTJ,06:56,07:02,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22187,GZB-MTC,16:20,16:26,UP,"MON,TUE,WED,THU,FRI,SUN"
22187,GZB-ALJN,17:02,17:08,UP,"MON,TUE,WED,THU,FRI,SUN"
12948,PNP-UMB,23:40,23:44,UP,"MON,TUE,THU,FRI,SAT"
12948,GZB-ALJN,00:40,00:45,UP,"MON,TUE,THU,FRI,SAT"
22002,NDLS-PWL,13:25,13:31,UP,"TUE,WED,THU,FRI,SAT,SUN"
22002,PWL-MTJ,13:59,14:04,UP,"TUE,WED,THU,FRI,SAT,SUN"
12593,NDLS-GZB,05:45,05:49,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12593,GZB-ALJN,06:38,06:45,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12070,GZB-MTC,17:25,17:33,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12070,GZB-ALJN,18:29,18:35,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04535,PNP-UMB,20:50,20:54,DOWN,"TUE,WED,THU,FRI,SAT,SUN"
04535,GZB-ALJN,21:24,21:31,DOWN,"TUE,WED,THU,FRI,SAT,SUN"
22951,NDLS-GZB,12:25,12:28,UP,"MON,THU,FRI,SAT,SUN"
22951,GZB-ALJN,13:10,13:14,UP,"MON,THU,FRI,SAT,SUN"
12955,GZB-MTC,07:10,07:16,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
12955,GZB-ALJN,08:12,08:19,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
04826,GZB-MTC,04:50,04:55,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04826,GZB-ALJN,05:54,05:59,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12278,GZB-MTC,18:45,18:52,UP,"TUE,WED,THU,FRI,SAT,SUN"
12278,GZB-ALJN,19:30,19:36,UP,"TUE,WED,THU,FRI,SAT,SUN"
12649,NDLS-GZB,12:40,12:43,UP,"MON,TUE,WED,THU,FRI,SUN"
12649,GZB-ALJN,13:36,13:41,UP,"MON,TUE,WED,THU,FRI,SUN"
04452,DLI-DEC,18:40,18:43,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04452,DEC-GGN,19:23,19:27,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04151,VAPI-ST,18:15,18:19,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
04151,GZB-MTC,18:52,18:56,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
22798,VAPI-ST,02:30,02:37,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
22798,GZB-MTC,03:24,03:31,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04946,DLI-DEC,13:45,13:53,UP,"MON,TUE,WED,THU,SAT,SUN"
04946,DEC-GGN,14:36,14:41,UP,"MON,TUE,WED,THU,SAT,SUN"
12204,GZB-MTC,21:55,22:03,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
12204,GZB-ALJN,22:34,22:38,DOWN,"MON,TUE,WED,FRI,SAT,SUN"
22359,VAPI-ST,02:30,02:35,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22359,GZB-MTC,03:08,03:16,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12610,VAPI-ST,10:35,10:39,UP,"MON,WED,THU,FRI,SAT,SUN"
12610,GZB-MTC,11:24,11:28,UP,"MON,WED,THU,FRI,SAT,SUN"
22045,VAPI-ST,20:50,20:54,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22045,GZB-MTC,21:36,21:44,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22679,NZM-FDB,19:15,19:18,DOWN,"WED,THU,FRI,SAT,SUN"
22679,NDLS-PWL,19:48,19:54,DOWN,"WED,THU,FRI,SAT,SUN"
04130,GZB-MTC,15:40,15:46,DOWN,"TUE,WED,THU,SAT,SUN"
04130,GZB-ALJN,16:42,16:47,DOWN,"TUE,WED,THU,SAT,SUN"
12311,GZB-MTC,03:55,04:03,UP,"TUE,WED,THU,FRI,SAT,SUN"
12311,GZB-ALJN,04:57,05:05,UP,"TUE,WED,THU,FRI,SAT,SUN"
22812,PNP-UMB,02:40,02:47,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22812,GZB-ALJN,03:37,03:41,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12825,NZM-FDB,21:05,21:10,UP,"MON,TUE,THU,SAT,SUN"
12825,NDLS-PWL,21:55,22:00,UP,"MON,TUE,THU,SAT,SUN"
22424,DLI-DEC,20:40,20:45,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
22424,DEC-GGN,21:13,21:16,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
22224,NDLS-GZB,00:40,00:43,DOWN,"MON,THU,FRI,SAT,SUN"
22224,GZB-ALJN,01:18,01:24,DOWN,"MON,THU,FRI,SAT,SUN"
12820,NZM-FDB,18:15,18:19,UP,"TUE,WED,THU,FRI,SAT,SUN"
12820,NDLS-PWL,18:52,19:00,UP,"TUE,WED,THU,FRI,SAT,SUN"
12761,DLI-DEC,11:40,11:43,UP,"TUE,WED,THU,FRI,SAT,SUN"
12761,DEC-GGN,12:31,12:36,UP,"TUE,WED,THU,FRI,SAT,SUN"
12730,NDLS-GZB,07:00,07:03,DOWN,"MON,TUE,WED,THU,FRI,SAT"
12730,GZB-ALJN,07:53,08:01,DOWN,"MON,TUE,WED,THU,FRI,SAT"
04156,DLI-DEC,18:15,18:23,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04156,DEC-GGN,18:53,19:01,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04968,NDLS-GZB,09:05,09:11,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04968,GZB-ALJN,09:40,09:44,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04752,GZB-MTC,22:05,22:13,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04752,GZB-ALJN,23:06,23:09,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04695,NDLS-GZB,05:05,05:11,DOWN,"MON,TUE,WED,THU,SAT,SUN"
04695,GZB-ALJN,05:44,05:50,DOWN,"MON,TUE,WED,THU,SAT,SUN"
04027,NDLS-GZB,16:20,16:23,UP,"MON,TUE,THU,SAT,SUN"
04027,GZB-ALJN,16:54,16:57,UP,"MON,TUE,THU,SAT,SUN"
12465,DLI-DEC,12:45,12:49,DOWN,"MON,TUE,WED,THU,SAT,SUN"
12465,DEC-GGN,13:38,13:42,DOWN,"MON,TUE,WED,THU,SAT,SUN"
12974,PNP-UMB,02:55,03:02,UP,"MON,TUE,WED,THU,FRI,SAT"
12974,GZB-ALJN,03:27,03:34,UP,"MON,TUE,WED,THU,FRI,SAT"
12244,PNP-UMB,18:45,18:50,UP,"MON,TUE,THU,SAT,SUN"
12244,GZB-ALJN,19:28,19:36,UP,"MON,TUE,THU,SAT,SUN"
04621,PNP-UMB,17:30,17:37,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04621,GZB-ALJN,18:30,18:34,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04203,NDLS-GZB,05:55,05:58,UP,"MON,TUE,WED,FRI,SAT"
04203,GZB-ALJN,06:47,06:52,UP,"MON,TUE,WED,FRI,SAT"
12815,NZM-FDB,05:55,05:59,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12815,NDLS-PWL,06:41,06:49,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22842,NDLS-GZB,23:35,23:42,UP,"MON,WED,THU,FRI,SAT,SUN"
22842,GZB-ALJN,00:25,00:33,UP,"MON,WED,THU,FRI,SAT,SUN"
04276,NDLS-GZB,08:45,08:52,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04276,GZB-ALJN,09:49,09:53,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22249,PNP-UMB,12:35,12:43,DOWN,"MON,TUE,WED,THU,FRI,SUN"
22249,GZB-ALJN,13:11,13:15,DOWN,"MON,TUE,WED,THU,FRI,SUN"
12363,NZM-FDB,04:45,04:49,DOWN,"MON,WED,THU,FRI,SAT,SUN"
12363,NDLS-PWL,05:45,05:53,DOWN,"MON,WED,THU,FRI,SAT,SUN"
12737,GZB-MTC,22:30,22:33,UP,"TUE,WED,THU,FRI,SAT,SUN"
12737,GZB-ALJN,23:21,23:26,UP,"TUE,WED,THU,FRI,SAT,SUN"
22226,NDLS-PWL,17:55,18:00,DOWN,"TUE,WED,THU,FRI,SAT,SUN"
22226,PWL-MTJ,18:59,19:07,DOWN,"TUE,WED,THU,FRI,SAT,SUN"
22360,NDLS-PWL,03:05,03:08,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22360,PWL-MTJ,03:37,03:40,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12756,DLI-DEC,01:40,01:43,UP,"MON,WED,THU,FRI,SAT,SUN"
12756,DEC-GGN,02:33,02:40,UP,"MON,WED,THU,FRI,SAT,SUN"
22014,DLI-DEC,18:00,18:08,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22014,DEC-GGN,18:58,19:01,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12893,PNP-UMB,11:50,11:53,UP,"TUE,WED,THU,FRI,SUN"
12893,GZB-ALJN,12:37,12:40,UP,"TUE,WED,THU,FRI,SUN"
22116,GZB-MTC,06:35,06:42,UP,"MON,THU,FRI,SAT,SUN"
22116,GZB-ALJN,07:27,07:33,UP,"MON,THU,FRI,SAT,SUN"
12254,GZB-MTC,13:10,13:18,UP,"TUE,WED,THU,FRI,SUN"
