train_no,train_name,type,priority_class,days_of_run,punctuality_pct,avg_passengers
04284,Express Passenger 001,Express Passenger,3,"TUE,WED,THU,SAT,SUN",72.3,1781
12094,Superfast Express 002,Superfast Express,2,"MON,TUE,WED,FRI,SAT,SUN",86.4,1787
04300,Rajdhani Express 003,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",96.0,1595
12875,Superfast Express 004,Superfast Express,2,"MON,TUE,WED,THU,SUN",87.6,1773
22363,Shatabdi Express 005,Shatabdi Express,1,"MON,TUE,WED,SAT,SUN",96.6,1283
22276,Express Passenger 006,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",82.1,1410
12216,Superfast Express 007,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",83.2,1652
04269,Goods Freight 008,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",65.2,0
12156,Rajdhani Express 009,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",94.8,1483
04738,Rajdhani Express 010,Rajdhani Express,1,"MON,WED,FRI,SAT,SUN",92.6,1280
12976,Express Passenger 011,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",82.6,1519
12382,Goods Freight 012,Goods Freight,4,"MON,TUE,WED,FRI,SUN",55.4,0
12059,Superfast Express 013,Superfast Express,2,"MON,THU,FRI,SAT,SUN",91.7,1945
12675,Shatabdi Express 014,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SUN",96.4,1404
22921,Superfast Express 015,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",87.1,1635
12007,Goods Freight 016,Goods Freight,4,"MON,TUE,FRI,SAT,SUN",73.1,0
04243,Rajdhani Express 017,Rajdhani Express,1,"TUE,WED,THU,FRI,SAT,SUN",92.2,1442
12096,Express Passenger 018,Express Passenger,3,"TUE,WED,THU,SAT,SUN",77.0,1746
04669,Rajdhani Express 019,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",91.7,1429
22187,Shatabdi Express 020,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SUN",90.5,1476
12948,Rajdhani Express 021,Rajdhani Express,1,"MON,TUE,THU,FRI,SAT",97.8,1230
22002,Shatabdi Express 022,Shatabdi Express,1,"TUE,WED,THU,FRI,SAT,SUN",91.4,1351
12593,Shatabdi Express 023,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",90.5,1460
12070,Rajdhani Express 024,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",95.6,1414
04535,Goods Freight 025,Goods Freight,4,"TUE,WED,THU,FRI,SAT,SUN",57.6,0
22951,Express Passenger 026,Express Passenger,3,"MON,THU,FRI,SAT,SUN",78.1,1518
12955,Superfast Express 027,Superfast Express,2,"MON,TUE,WED,FRI,SAT,SUN",90.0,2120
04826,Superfast Express 028,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",83.2,1509
12278,Goods Freight 029,Goods Freight,4,"TUE,WED,THU,FRI,SAT,SUN",65.1,0
12649,Rajdhani Express 030,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SUN",95.7,1334
04452,Shatabdi Express 031,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",94.9,1389
04151,Goods Freight 032,Goods Freight,4,"MON,TUE,WED,FRI,SAT,SUN",59.2,0
22798,Rajdhani Express 033,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",97.9,1212
04946,Shatabdi Express 034,Shatabdi Express,1,"MON,TUE,WED,THU,SAT,SUN",93.4,1219
12204,Express Passenger 035,Express Passenger,3,"MON,TUE,WED,FRI,SAT,SUN",76.0,1285
22359,Rajdhani Express 036,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",91.6,1335
12610,Rajdhani Express 037,Rajdhani Express,1,"MON,WED,THU,FRI,SAT,SUN",93.5,1495
22045,Shatabdi Express 038,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",98.5,1369
22679,Goods Freight 039,Goods Freight,4,"WED,THU,FRI,SAT,SUN",63.2,0
04130,Superfast Express 040,Superfast Express,2,"TUE,WED,THU,SAT,SUN",86.8,1815
12311,Goods Freight 041,Goods Freight,4,"TUE,WED,THU,FRI,SAT,SUN",63.8,0
22812,Goods Freight 042,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",71.4,0
12825,Superfast Express 043,Superfast Express,2,"MON,TUE,THU,SAT,SUN",87.3,2186
22424,Rajdhani Express 044,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",95.9,1202
22224,Rajdhani Express 045,Rajdhani Express,1,"MON,THU,FRI,SAT,SUN",95.0,1262
12820,Express Passenger 046,Express Passenger,3,"TUE,WED,THU,FRI,SAT,SUN",82.5,1561
12761,Express Passenger 047,Express Passenger,3,"TUE,WED,THU,FRI,SAT,SUN",79.4,1281
12730,Express Passenger 048,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT",72.1,1236
04156,Express Passenger 049,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",70.9,1430
04968,Express Passenger 050,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",81.3,1429
04752,Goods Freight 051,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",64.7,0
04695,Superfast Express 052,Superfast Express,2,"MON,TUE,WED,THU,SAT,SUN",90.9,2006
04027,Goods Freight 053,Goods Freight,4,"MON,TUE,THU,SAT,SUN",56.0,0
12465,Superfast Express 054,Superfast Express,2,"MON,TUE,WED,THU,SAT,SUN",85.6,2167
12974,Goods Freight 055,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT",59.0,0
12244,Goods Freight 056,Goods Freight,4,"MON,TUE,THU,SAT,SUN",69.0,0
04621,Shatabdi Express 057,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",95.2,1392
04203,Express Passenger 058,Express Passenger,3,"MON,TUE,WED,FRI,SAT",81.6,1700
12815,Goods Freight 059,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",65.1,0
22842,Rajdhani Express 060,Rajdhani Express,1,"MON,WED,THU,FRI,SAT,SUN",93.9,1575
04276,Goods Freight 061,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",72.0,0
22249,Superfast Express 062,Superfast Express,2,"MON,TUE,WED,THU,FRI,SUN",90.2,1586
12363,Express Passenger 063,Express Passenger,3,"MON,WED,THU,FRI,SAT,SUN",77.7,1195
12737,Rajdhani Express 064,Rajdhani Express,1,"TUE,WED,THU,FRI,SAT,SUN",94.0,1208
22226,Rajdhani Express 065,Rajdhani Express,1,"TUE,WED,THU,FRI,SAT,SUN",93.8,1581
22360,Goods Freight 066,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",61.3,0
12756,Shatabdi Express 067,Shatabdi Express,1,"MON,WED,THU,FRI,SAT,SUN",92.7,1384
22014,Shatabdi Express 068,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",95.7,1585
12893,Express Passenger 069,Express Passenger,3,"TUE,WED,THU,FRI,SUN",75.1,1052
22116,Superfast Express 070,Superfast Express,2,"MON,THU,FRI,SAT,SUN",81.8,1976
12254,Superfast Express 071,Superfast Express,2,"TUE,WED,THU,FRI,SUN",84.6,1853
04439,Superfast Express 072,Superfast Express,2,"MON,WED,THU,FRI,SAT,SUN",83.2,1483
12177,Shatabdi Express 073,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",90.3,1347
04880,Superfast Express 074,Superfast Express,2,"MON,TUE,WED,THU,SAT,SUN",85.1,1957
04152,Shatabdi Express 075,Shatabdi Express,1,"MON,TUE,THU,FRI,SAT,SUN",95.4,1491
22127,Superfast Express 076,Superfast Express,2,"TUE,WED,THU,FRI,SAT,SUN",85.3,2012
22752,Rajdhani Express 077,Rajdhani Express,1,"MON,WED,THU,FRI,SAT,SUN",99.0,1544
04041,Superfast Express 078,Superfast Express,2,"MON,WED,THU,FRI,SUN",92.0,1846
12481,Express Passenger 079,Express Passenger,3,"MON,TUE,WED,THU,SAT,SUN",76.2,1507
04967,Superfast Express 080,Superfast Express,2,"MON,TUE,THU,FRI,SAT,SUN",83.0,1518
04844,Express Passenger 081,Express Passenger,3,"MON,THU,FRI,SAT,SUN",72.8,1370
22640,Goods Freight 082,Goods Freight,4,"MON,TUE,WED,THU,SAT,SUN",73.6,0
12029,Express Passenger 083,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",71.4,1116
12663,Express Passenger 084,Express Passenger,3,"TUE,WED,THU,FRI,SAT",82.5,1483
22564,Shatabdi Express 085,Shatabdi Express,1,"MON,TUE,THU,FRI,SAT",92.5,1412
04273,Superfast Express 086,Superfast Express,2,"MON,WED,THU,SAT,SUN",85.4,1895
22565,Superfast Express 087,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",82.8,2194
12325,Express Passenger 088,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",84.5,1129
04339,Goods Freight 089,Goods Freight,4,"MON,THU,FRI,SAT,SUN",69.4,0
12480,Shatabdi Express 090,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SUN",98.6,1520
04036,Express Passenger 091,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",84.7,1778
22170,Rajdhani Express 092,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",93.4,1274
04421,Shatabdi Express 093,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",94.5,1498
12472,Shatabdi Express 094,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",90.7,1376
22654,Goods Freight 095,Goods Freight,4,"MON,TUE,WED,THU,SAT,SUN",72.1,0
22585,Shatabdi Express 096,Shatabdi Express,1,"MON,TUE,WED,FRI,SAT,SUN",92.5,1489
04763,Rajdhani Express 097,Rajdhani Express,1,"MON,TUE,WED,THU,SAT,SUN",95.6,1547
04099,Shatabdi Express 098,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",90.8,1351
04425,Superfast Express 099,Superfast Express,2,"TUE,WED,THU,FRI,SUN",86.0,1679
22935,Shatabdi Express 100,Shatabdi Express,1,"MON,TUE,WED,THU,SAT,SUN",91.3,1315
04374,Express Passenger 101,Express Passenger,3,"MON,WED,THU,SAT,SUN",71.9,1377
04390,Superfast Express 102,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",87.8,2050
04309,Express Passenger 103,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",71.7,1240
12397,Goods Freight 104,Goods Freight,4,"MON,WED,THU,FRI,SAT,SUN",72.7,0
04417,Express Passenger 105,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT",84.3,1371
